sale_id,customer_id,product_id,quantity,sale_date,discount_rate
S001,C001,P001,1,2024-07-01,0.0
S002,C002,P002,2,2024-07-01,0.1
S003,C001,P003,3,2024-07-02,0.0
S004,C003,P004,1,2024-07-03,0.05
S005,C004,P005,1,2024-07-03,0.0
S006,C005,P001,1,2024-07-04,0.15
S007,C002,P006,1,2024-07-05,0.0
S008,C006,P007,2,2024-07-05,0.0
S009,C007,P002,1,2024-07-06,0.1
S010,C001,P008,1,2024-07-07,0.0
S011,C008,P009,1,2024-07-08,0.0
S012,C003,P010,2,2024-07-08,0.0
S013,C009,P001,1,2024-07-09,0.1
S014,C010,P003,5,2024-07-10,0.0
S015,C004,P002,3,2024-07-10,0.05
S016,C011,P004,1,2024-07-11,0.0
S017,C002,P005,1,2024-07-12,0.0
S018,C012,P006,2,2024-07-12,0.1
S019,C005,P008,1,2024-07-13,0.0
S020,C001,P009,1,2024-07-14,0.0
S021,C007,P001,1,2024-07-15,0.2
S022,C003,P007,4,2024-07-15,0.0
S023,C010,P002,1,2024-07-16,0.0
S024,C006,P004,1,2024-07-17,0.05
S025,C009,P010,3,2024-07-18,0.0
S026,C011,P003,2,2024-07-19,0.0
S027,C004,P009,1,2024-07-20,0.1
S028,C008,P001,1,2024-07-21,0.0
S029,C012,P005,1,2024-07-22,0.0
S030,C002,P008,2,2024-07-23,0.0
S031,C001,P002,1,2024-07-25,
S032,C005,P004,,2024-07-26,0.0
S033,C999,P001,1,2024-07-27,0.0
S034,C007,P999,1,2024-07-28,0.0
S035,C003,P005,1,,0.0
